Review Text,Category
"Usually reliable, but lately I've been noticing more and more issues with the application. like the coloring pages no longer function. we tried switching to the computer versions and they constantly keep crashing on more than one computer. Kinda anoying. Fills its need for the most part. I'm glad we didn't do the subscription at full price.",
"So far so good. We did a 1 mo. free trial, and then it was $12.99 monthly. After another good month of my 2 kids enjoying this (3.5 and 6) I decided to committ to the annual plan they had a deal running and I paid I think around $45 for the full year. Good deal. There is an option to be able to get more feedback on their progress for an additional fee but it's not necessary for us and easy to skip. Easy for my kids to navigate and use. No problems thus far. 👌",
"Not sure what bugs are fixed, but the bugs are clearly present while using a tablet. There are not any graphics (have uninstalled and reinstalled abc mouse three times) and there is not a way to contact support. Edited: The issue has been addressed and corrected.",
"Was working great. We just upgraded to the yearly subscription a couple of days ago. Now, the app keeps crashing every time we open it. I'm not sure what the issue is. I've tried clearing the cache, and I will try uninstalling it now and reinstalling it to see if that works. My son loves this game, and we hope to have this fixed soon. Please help. Update: I just tried uninstalling the app and reinstalling it and logging back into the app, but it keeps crashing.",
"During the registration be aware that after confirming your package ( month or year subscription) they continue to ask you if you'd like to ""upgrade"" for additional charges. I was asked if I wanted to ""upgrade"" to $59 a year instead of $12.99 per month and accepted, but it charged me for both! And then it asked me to upgrade for $20 more for the assessment. It didn't ask for any confirmation of payment, you click the button and it automatically charges you. No reviewing what you get first.",
"I wish I could give it 0 stars. Got the year subscription ($45) then it gives you so many pages trying to get you to upgrade which btw to monitor your child's progress is $100!!! We started using the “learning path” and within the first few “lessons” one wouldn't load. I was talking with customer service for over an hour and her solution was to skip 7 of the lessons. We started doing more, again another wouldn't load. What's the point in paying $45 if you can't use it? Got a refund!",
"I canceled it last year. One year later, they charged me again. It's really annoying because this is the 2nd year I've gotten a charge from them when I had canceled it before! Cannot afford these annoying surprise charges when it was supposed to be settled last year. They say it's easy to cancel, but it's actually impossible. No matter what, they find a way to charge you again and feign ignorance. Their app crashes, so I can't even view the membership. Customer support is slow and awful, too.",
Parents section on every device all don't fit the screen right and don't click right. Only shows math progress no other subjects. When you are in the kids area you can not scroll. When you try to click the mouse and drag or slide your finger you have to drag the opposite direction and it messes up so you have to do it over and over to go down. I think this is a great concept but for it to be $50-$100 yearly it is missing quite a bit. I'm using this for homeschool and preschool aged kids.,
"While the content is decent for the price you (and millions of others) are paying, you'd think the app would run way smoother. The fact is, this doesn't. It crashes, freezes, and just generally bugs out far too much for the price. The fix for that shouldn't be uninstall and reinstall it should be a preventative measure.",
"I usually don't write reviews but man has this experience been frustrating! I signed up for ABCmouse due to the corona virus to get the kids learning something while they're at home quarantining and it has been a nightmare! The main issue is that the app consistently freezes. No matter what! I have to close the app and reopen to get it working again and then sure enough, they tap on something and... You guessed it. Frozen again! Not sure if you understand exactly how frustrating it is to have a 3 and a 5 year coming to you every 5 minutes screaming ""It's not working again!"" especially when you yourself are working from home or in a meeting. I'm definitely not continuing my subscription and would advise anybody else to look elsewhere until they get some solid developers on their app.",Category
"I love the idea of this, it really does teach my kids so much. However, it is incredibly buggy. It freezes often and just causes frustration. I use it on 2 different tablets, both with the proper system requirements and supposedly compatible. It's even worse because it is something I pay for yet only works about half the time. We are in an incredible age of technology, it really should work better.",
"The program is great, but the app is horrible. They made it so complex and built it so poorly that it's very difficult to navigate, it loads terribly slowly, and it often freezes or some aspects don't work. There is no ""home"" button within activities, so you have to go through possibly dozens of slowly loading pages to get to what you want. I'm considering getting a refund. (The app is free but the service is not, and if the app doesn't work then the program is useless).",
"Cancelled during the trial period primarily because the app runs very slowly (can take up to 30 seconds between screens, at which point my toddler loses interest or gets frustrated). Some activities wouldn't work properly and had to be restarted. Even at the discounted subscription price, I just didn't think that the content was worth it. That, plus the fact that you are bombarded with requests to upgrade just made ABC Mouse feel like a money grab. There are free apps that are better!",
"Honestly didn't even get to use it. The app is ""free"" but when you open it you have to sign up for 30 day free subscription and reading into it will automatically renew each month unless you unsubscribe and charge you. I was disappointed and after searching I didn't find anywhere in print that the subscription would cost money. I'm sure it's really great but I can't spend extra money on apps. I just feel it's a bit misleading.",
"I've had some issues with the app, but I've uninstalled it and reinstalled it. It seems when I download it from the website, is when I have issues. When i get it directly from Google play, I don't have issues. Not sure why. I also make sure to update the app frequently. This is by far the best app for my 3 kids(2, 4, 10yrs). My 10 year old still uses and loves it. Repetition is good. It's easy to navigate, even my 2 yr old does it by himself while I get my housework done. And it's so affordable!",
